id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
P48729	400	237	337	0	50.15%	75%
P21728	401	34	446	1	100	100%
P18901	401	34	446	0	90.13%	100%
P19020	402	166	446	1	100	100%
P61169	402	166	444	0	51.58%	99%
P20288	402	166	444	0	51.35%	99%
P14416	402	166	443	0	51.02%	99%
P35462	402	166	400	0	61.25%	89%
P51955	403	36	445	1	100	100%
P56545	404	6	445	1	100	100%
Q13363	404	6	440	0	78.64%	98%
P58406	405	282	445	1	100	100%
Q9Y5N1	405	282	445	0	94.38%	100%
Q9QYN8	405	282	445	0	98.88%	100%
Q9JI35	405	282	445	0	95.51%	100%
O43614	406	304	444	1	100	100%
O43613	406	304	425	0	67.29%	95%
P17752	407	1	444	1	100	100%
P34998	408	8	444	1	100	100%
Q9Y6E0	409	108	443	1	100	100%
O00506	409	108	426	0	72.77%	96%
Q9P289	409	108	416	0	72.12%	93%
Q96SW2	410	1	442	1	100	100%
O23920	411	1	442	1	100	100%
O75530	412	43	441	1	100	100%
Q13093	413	4	441	1	100	100%
P01106	414	2	439	1	100	100%
P14900	415	9	438	1	100	100%
Q8IY84	416	17	436	1	100	100%
Q15118	417	55	436	1	100	100%
Q16654	417	55	411	0	64.72%	94%
Q15119	417	55	407	0	68.06%	93%
Q15120	417	55	406	0	67.24%	93%
P18031	418	12	435	1	100	100%
P9WPL0	419	6	434	1	100	100%
Q15561	420	4	434	1	100	100%
Q873X9	421	3	433	1	100	100%
Q15831	422	30	433	1	100	100%
P9WPP0	423	10	433	1	100	100%
Q9NRG4	424	2	433	1	100	100%
P00749	425	8	431	1	100	100%
P22007	426	1	431	1	100	100%
Q9GZQ6	427	2	430	1	100	100%
P0A8L1	428	2	430	1	100	100%
Q81WF0	429	4	428	1	100	100%
P0A6D3	430	17	427	1	100	100%
P25101	431	1	427	1	100	100%
P11473	432	8	427	1	100	100%
A3RGC1	432	8	427	0	92.04%	100%
Q9GZT9	433	24	426	1	100	100%
P25116	434	15	425	1	100	100%
O59010	435	3	425	1	100	100%
Q52WX2	436	17	424	1	100	100%
P20789	437	3	424	1	100	100%
P30989	437	3	418	0	84.93%	98%
P08908	438	16	422	1	100	100%
P19327	438	16	422	0	89.81%	100%
Q99705	439	3	422	1	100	100%
Q8TBX8	440	60	421	1	100	100%
P78356	440	60	416	0	65.62%	98%
P14324	441	6	419	1	100	100%
O14733	442	82	419	1	100	100%
P45985	442	82	399	0	45.11%	95%
P52564	442	82	334	0	41.62%	79%
P11838	443	1	419	1	100	100%
P32745	444	273	418	1	100	100%
P28646	444	273	391	0	43.99%	93%
P30872	444	273	391	0	45.78%	93%
P31391	444	273	388	0	45.88%	92%
P30680	444	273	369	0	49.32%	88%
P30874	444	273	369	0	48.78%	88%
P35346	444	273	364	0	57.14%	87%
P97266	444	273	98	0	45.92%	23%
P07205	445	29	417	1	100	100%
P00558	445	29	417	0	87.29%	100%
P00560	445	29	416	0	62.74%	99%
P15088	446	1	417	1	100	100%
P9WQD9	447	18	416	1	100	100%
Q9UEE5	448	132	414	1	100	100%
O94768	448	132	372	0	53.23%	89%
O75874	449	3	414	1	100	100%
P9WJM9	450	1	414	1	100	100%
P9WNS1	451	10	413	1	100	100%
P29274	452	180	412	1	100	100%
P30543	452	180	410	0	83.17%	99%
P29276	452	180	332	0	59.94%	80%
P29275	452	180	332	0	59.04%	80%
Q60614	452	180	332	0	60.24%	80%
P30542	452	180	326	0	49.69%	79%
P25099	452	180	326	0	48.77%	79%
P28190	452	180	326	0	49.39%	79%
P0DMS8	452	180	318	0	40.57%	77%
O95503	453	1	412	1	100	100%
P07339	454	10	412	1	100	100%
P00797	454	10	406	0	42.36%	98%
P38919	455	7	411	1	100	100%
P83512	456	2	408	1	100	100%
P15735	457	106	406	1	100	100%
Q16816	457	106	387	0	63.05%	95%
Q93088	458	2	406	1	100	100%
P9WPN4	459	15	405	1	100	100%
P9WPN5	459	15	405	0	100.00%	100%
P35375	460	28	405	1	100	100%
P34995	460	28	402	0	85.32%	99%
Q15109	461	27	404	1	100	100%
Q63495	461	27	402	0	78.36%	99%
Q9NNX6	462	2	404	1	100	100%
O14965	463	378	403	1	100	100%
Q96GD4	463	378	344	0	61.05%	85%
Q9UQB9	463	378	309	0	64.08%	76%
P14902	464	27	403	1	100	100%
Q5TKS0	465	6	403	1	100	100%
P05121	466	13	402	1	100	100%
P20961	466	13	402	0	80.85%	100%
P04278	467	91	402	1	100	100%
P03118	468	3	401	1	100	100%
P36507	469	114	400	1	100	100%
Q02750	469	114	393	0	81.17%	98%
P49137	470	6	400	1	100	100%
P35372	471	143	400	1	100	100%
P33535	471	143	398	0	94.47%	99%
P41145	471	143	380	0	58.42%	95%
P41144	471	143	380	0	59.74%	95%
P34975	471	143	380	0	58.68%	95%
P41143	471	143	372	0	61.56%	93%
P33533	471	143	372	0	61.56%	93%
P32300	471	143	372	0	61.56%	93%
P97696	472	2	400	1	100	100%
Q99418	472	2	400	0	79.25%	100%
P9WIQ1	473	26	399	1	100	100%
Q48481	473	26	384	0	43.49%	96%
P47824	474	2	399	1	100	100%
P9WPP7	475	20	396	1	100	100%
Q63707	476	1	395	1	100	100%
Q9Y5Y4	477	5	395	1	100	100%
Q9Y4P1	478	2	393	1	100	100%
Q9NQR1	479	2	393	1	100	100%
P04637	480	25	393	1	100	100%
P68400	481	109	391	1	100	100%
P19784	481	109	350	0	82.57%	89%
P30411	482	128	391	1	100	100%
O70526	482	128	372	0	79.84%	95%
Q28642	482	128	367	0	81.74%	93%
Q91ZY2	483	16	391	1	100	100%
Q91ZY1	483	16	391	0	85.17%	100%
Q9H3N8	483	16	390	0	68.72%	99%
P28222	484	15	390	1	100	100%
P28564	484	15	386	0	93.78%	98%
P28221	484	15	377	0	62.86%	96%
P79400	484	15	291	0	68.38%	74%
Q14654	485	2	390	1	100	100%
P0A031	486	16	390	1	100	100%
P0A9A6	486	16	383	0	44.65%	98%
P17865	486	16	382	0	70.42%	97%
P9WN95	486	16	379	0	55.15%	97%
O66809	486	16	367	0	41.69%	94%
P14598	487	9	390	1	100	100%
Q9HC52	488	8	389	1	100	100%
Q9UKP6	489	6	389	1	100	100%
P70536	490	4	388	1	100	100%
Q13639	491	3	388	1	100	100%
O70528	491	3	388	0	95.36%	100%
O75936	492	6	387	1	100	100%
O43603	493	1	387	1	100	100%
Q86V24	494	2	386	1	100	100%
Q96A54	494	2	375	0	68.80%	97%
Q96RI0	495	2	385	1	100	100%
P25929	496	17	384	1	100	100%
Q9NYA1	497	1	384	1	100	100%
P80370	498	3	383	1	100	100%
P0A6F1	499	1	382	1	100	100%
P21453	500	1	382	1	100	100%
P10644	501	1	381	1	100	100%
P05364	502	2	381	1	100	100%
P49146	503	3	381	1	100	100%
P49354	504	1	379	1	100	100%
Q86WV6	505	5	379	1	100	100%
Q3TBT3	505	5	378	0	69.05%	99%
Q8NG68	506	18	377	1	100	100%
P41231	507	4	377	1	100	100%
Q96LA8	508	3	375	1	100	100%
P00327	509	17	375	1	100	100%
P07327	509	17	375	0	87.47%	100%
P00328	509	17	374	0	97.59%	99%
P41597	510	50	374	1	100	100%
P51679	510	50	360	0	45.56%	96%
P51677	510	50	355	0	49.58%	94%
P51675	510	50	355	0	49.58%	94%
P32246	510	50	355	0	53.52%	94%
P51682	510	50	354	0	68.36%	94%
P51681	510	50	352	0	67.90%	94%
P47900	511	6	373	1	100	100%
P50750	512	29	372	1	100	100%
P9WPL4	513	12	372	1	100	100%
P09651	514	1	372	1	100	100%
Q08752	515	105	370	1	100	100%
P23284	515	105	216	0	46.30%	58%
P62937	515	105	165	0	62.42%	44%
Q70I53	516	22	369	1	100	100%
P49682	517	3	368	1	100	100%
Q9BXA7	518	22	367	1	100	100%
Q13304	519	1	367	1	100	100%
P04015	520	28	367	1	100	100%
P03120	520	28	365	0	45.48%	99%
Q92847	521	18	366	1	100	100%
P0A988	522	4	366	1	100	100%
Q8NHU3	523	4	365	1	100	100%
P04439	524	6	365	1	100	100%
Q92633	525	11	364	1	100	100%
P35351	526	1	363	1	100	100%
P55263	527	3	362	1	100	100%
P49286	528	25	362	1	100	100%
P48039	528	25	350	0	59.43%	96%
P41052	529	4	361	1	100	100%
P25025	530	1	360	1	100	100%
P34976	531	123	359	1	100	100%
P25095	531	123	359	0	95.26%	100%
Q9WV26	531	123	359	0	96.10%	100%
P47747	532	123	359	1	100	100%
P25021	532	123	359	0	86.07%	100%
P25102	532	123	358	0	84.64%	99%
Q13258	533	5	359	1	100	100%
P43116	533	5	358	0	43.02%	99%
P0C264	534	16	359	1	100	100%
O00182	535	91	355	1	100	100%
Q8N6T7	536	4	355	1	100	100%
O43570	537	1173	354	1	100	100%
Q9ULX7	537	1173	337	0	43.03%	95%
P43166	537	1173	264	0	40.15%	74%
P16442	538	3	354	1	100	100%
P46663	539	2	353	1	100	100%
Q2G2U1	540	1	351	1	100	100%
Q07820	541	58	350	1	100	100%
P97287	541	58	331	0	80.36%	94%
P21462	542	12	350	1	100	100%
O74036	543	16	349	1	100	100%
Q06609	543	16	339	0	46.31%	97%
P47211	544	1	349	1	100	100%
Q9NWT6	545	1	349	1	100	100%
P14920	546	50	347	1	100	100%
P00371	546	50	347	0	84.73%	100%
P46734	547	30	347	1	100	100%
Q1CTD3	548	1	347	1	100	100%
P50613	549	68	346	1	100	100%
P9WQA3	550	1	344	1	100	100%
P21731	551	244	343	1	100	100%
P34978	551	244	341	0	75.66%	99%
P30987	551	244	341	0	75.95%	99%
Q9H244	552	7	342	1	100	100%
Q15391	552	7	338	0	44.67%	98%
Q2NNR5	553	45	340	1	100	100%
Q9Y271	553	45	337	0	87.54%	99%
Q9HCN6	554	3	339	1	100	100%
P09467	555	1	338	1	100	100%
P04406	556	2	335	1	100	100%
P61964	557	44	334	1	100	100%
P00338	558	108	332	1	100	100%
P04642	558	108	332	0	94.28%	100%
P56450	559	5	332	1	100	100%
P33033	559	5	323	0	58.51%	97%
P25774	560	47	331	1	100	100%
P54619	561	1	331	1	100	100%
P77173	562	2	328	1	100	100%
P31550	563	3	327	1	100	100%
P30969	564	3	327	1	100	100%
Q86V86	565	109	326	1	100	100%
P11309	565	109	313	0	69.65%	96%
Q9P1W9	565	109	311	0	59.49%	95%
Q15717	566	13	326	1	100	100%
P56470	567	24	323	1	100	100%
O54974	567	24	136	0	41.91%	42%
P05089	568	7	322	1	100	100%
Q9NRR2	569	3	321	1	100	100%
P06709	570	1	321	1	100	100%
Q9Y2T6	571	3	319	1	100	100%
P27695	572	4	318	1	100	100%
O00214	573	46	317	1	100	100%
Q9Y2D0	574	2412	317	1	100	100%
P35218	574	2412	305	0	60.33%	96%
Q8N1Q1	574	2412	262	0	48.09%	82%
P00915	574	2412	261	0	46.36%	82%
P00916	574	2412	261	0	45.98%	82%
P00918	574	2412	260	0	53.08%	82%
P00921	574	2412	260	0	52.31%	82%
P07451	574	2412	260	0	44.62%	82%
P00917	574	2412	260	0	48.85%	82%
O14788	575	1	317	1	100	100%
P15121	576	7	316	1	100	100%
P00469	577	1	316	1	100	100%
P45040	578	14	316	1	100	100%
Q9FBI2	579	1	315	1	100	100%
Q8N474	580	2	314	1	100	100%
Q9HC98	581	35	313	1	100	100%
Q8TDX7	581	35	302	0	78.48%	96%
P22748	582	245	312	1	100	100%
Q16831	583	27	310	1	100	100%
P9WIL5	584	16	309	1	100	100%
Q9HC97	585	4	309	1	100	100%
P23280	586	286	308	1	100	100%
P61431	587	2	307	1	100	100%
O75716	588	47	305	1	100	100%
Q99685	589	1	303	1	100	100%
P47205	590	24	303	1	100	100%
P0A9J4	591	8	303	1	100	100%
O14842	592	2	300	1	100	100%
P08191	593	4	300	1	100	100%
P50053	594	6	298	1	100	100%
Q96CA5	595	1	298	1	100	100%
P07992	596	1	297	1	100	100%
Q99836	597	2	296	1	100	100%
P50225	598	4	295	1	100	100%
P45880	599	1	294	1	100	100%
P55212	600	2	293	1	100	100%
P28845	601	1	292	1	100	100%
P07306	602	38	291	1	100	100%
O00625	603	17	290	1	100	100%
Q9NZQ7	604	1	290	1	100	100%
P00491	605	47	289	1	100	100%
P55859	605	47	289	0	86.51%	100%
P09038	606	68	288	1	100	100%
P05230	606	68	155	0	54.84%	53%
Q01782	607	6	288	1	100	100%
Q13126	608	21	283	1	100	100%
P24863	609	2	283	1	100	100%
O67648	610	48	282	1	100	100%
P0AC13	611	12	282	1	100	100%
O60671	612	2	282	1	100	100%
P11086	613	4	282	1	100	100%
Q9H160	614	3	280	1	100	100%
P24593	615	26	272	1	100	100%
P21964	616	4	271	1	100	100%
C7C422	617	11	270	1	100	100%
Q9Y478	618	24	270	1	100	100%
P9WGR1	619	14	269	1	100	100%
Q99895	620	6	268	1	100	100%
P9WP01	621	8	268	1	100	100%
P08246	622	9	267	1	100	100%
P0DMS9	623	2	266	1	100	100%
P40261	624	6	264	1	100	100%
P16110	625	272	264	1	100	100%
P17931	625	272	250	0	85.20%	94%
Q99619	626	1	263	1	100	100%
Q9Y657	627	20	262	1	100	100%
Q9BPZ2	627	20	258	0	78.29%	98%
Q5JUX0	627	20	258	0	84.50%	98%
Q56A73	627	20	249	0	74.30%	95%
Q99714	628	8	261	1	100	100%
Q96GG9	629	10	259	1	100	100%
P15328	630	10	257	1	100	100%
P56068	631	3	255	1	100	100%
P9WIK2	632	10	254	1	100	100%
P01213	633	1	254	1	100	100%
P04925	634	8	254	1	100	100%
P04273	634	8	254	0	94.09%	100%
P00746	635	22	253	1	100	100%
Q9HXQ1	636	3	252	1	100	100%
Q2FZ43	636	3	245	0	41.63%	97%
P9WFY7	636	3	230	0	43.48%	91%
O95931	637	15	251	1	100	100%
P23946	638	1	247	1	100	100%
P51580	639	1	245	1	100	100%
P0A0H2	640	2	243	1	100	100%
Q9H2J4	641	3	239	1	100	100%
P10415	642	89	239	1	100	100%
Q07817	642	89	233	0	44.64%	97%
Q92843	642	89	193	0	40.93%	80%
P02752	643	8	238	1	100	100%
P60033	644	6	236	1	100	100%
P01375	645	26	233	1	100	100%
B5Y1L0	646	24	232	1	100	100%
P0AF12	646	24	232	0	90.52%	100%
Q5HFG2	646	24	228	0	52.19%	98%
P15692	647	23	232	1	100	100%
P16083	648	4	231	1	100	100%
O95372	649	2	231	1	100	100%
P58154	650	45	229	1	100	100%
Q99720	651	10	223	1	100	100%
Q9R0C9	651	10	223	0	93.72%	100%
Q60492	651	10	223	0	93.27%	100%
P49763	652	4	221	1	100	100%
P62993	653	48	217	1	100	100%
P06730	654	28	217	1	100	100%
P63073	654	28	217	0	98.16%	100%
P9WMC1	655	8	216	1	100	100%
P09429	656	6	215	1	100	100%
P40337	657	27	213	1	100	100%
Q15544	658	1	211	1	100	100%
Q9UGC6	659	1	210	1	100	100%
Q9H9Z2	660	1	209	1	100	100%
P0A6G7	661	2	207	1	100	100%
Q2G036	661	2	195	0	63.59%	94%
Q8IL04,A0A144A6G1	662	1	205	1	100	100%
P01374	663	1	205	1	100	100%
Q61337	664	7	204	1	100	100%
Q92934	664	7	168	0	75.00%	82%
O60760	665	29	199	1	100	100%
Q06830	666	2	199	1	100	100%
P80188	667	4	198	1	100	100%
P36639	668	4	197	1	100	100%
Q9NPD8	669	6	197	1	100	100%
P61077	669	6	147	0	42.18%	74%
P61586	670	3	193	1	100	100%
P62166	671	2	190	1	100	100%
P00378	672	93	189	1	100	100%
P00374	672	93	187	0	74.33%	98%
P01116	673	6	189	1	100	100%
P83916	674	1	185	1	100	100%
Q15382	675	2	184	1	100	100%
P22629	676	3	183	1	100	100%
P61081	677	1	183	1	100	100%
A2RI47	678	5	182	1	100	100%
P84077	679	1	181	1	100	100%
P02754	680	2	178	1	100	100%
Q5U3Y7	681	1	176	1	100	100%
Q16548	682	2	175	1	100	100%
P16257	683	21	169	1	100	100%
P30536	683	21	169	0	79.88%	100%
Q48255	684	3	167	1	100	100%
P19921	685	2	166	1	100	100%
P00720	686	16	164	1	100	100%
O35820	687	5	163	1	100	100%
Q13526	688	26	163	1	100	100%
P40933	689	14	162	1	100	100%
P56073	690	2	162	1	100	100%
Q63T71	691	13	162	1	100	100%
P62617	691	13	159	0	62.26%	98%
P20292	692	1	161	1	100	100%
Q9Y6Y9	693	15	160	1	100	100%
P15494	694	1	160	1	100	100%
P26281	695	50	159	1	100	100%
P15474	696	4	157	1	100	100%
P9WPX7	696	4	147	0	42.86%	93%
P60568	697	12	153	1	100	100%
P00442	698	1	152	1	100	100%
P22392	699	72	152	1	100	100%
P02701	700	1	152	1	100	100%
O43924	701	99	150	1	100	100%
P02724	702	2	150	1	100	100%
P0DP25,P0DP23,P0DP2	703	24	149	1	100	100%
P62157	703	24	149	0	100.00%	100%
P04054	704	1	148	1	100	100%
P02766	705	65	147	1	100	100%
O15392	706	31	142	1	100	100%
Q9HYR3	707	9	141	1	100	100%
P37840	708	1	140	1	100	100%
P22935	709	36	138	1	100	100%
P29373	709	36	138	0	93.48%	100%
P62965	709	36	137	0	73.72%	99%
P05413	709	36	133	0	44.36%	96%
P47929	710	66	136	1	100	100%
P09382	711	104	135	1	100	100%
P11762	711	104	135	0	90.37%	100%
P05162	711	104	132	0	43.18%	97%
Q05816	712	15	135	1	100	100%
Q01469	712	15	135	0	80.00%	100%
P15090	712	15	132	0	51.52%	97%
P12104	713	7	132	1	100	100%
P07445	714	7	131	1	100	100%
P51161	715	5	128	1	100	100%
P02692	716	42	127	1	100	100%
P07148	716	42	127	0	82.68%	100%
P62959	717	6	126	1	100	100%
P49773	717	6	126	0	94.44%	100%
Q05097	718	3	122	1	100	100%
P14174	719	10	115	1	100	100%
Q15369	720	5	112	1	100	100%
P0A881	721	22	108	1	100	100%
P62805	722	1	103	1	100	100%
P13500	723	4	99	1	100	100%
P0DOF5	724	8	97	1	100	100%
P05778	724	8	97	0	82.47%	100%
P48061	725	6	93	1	100	100%
P04271	726	15	92	1	100	100%
P04631	726	15	92	0	97.83%	100%
P04326	727	6	86	1	100	100%
P04608	727	6	86	0	95.35%	100%
