CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O	CHEMBL628
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397430
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C)C(N)=O	CHEMBL3397431
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(N)=O	CHEMBL3397420
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397425
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(N)=O	CHEMBL3397436
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397426
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397415
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397427
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397416
C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397428
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(N)=O	CHEMBL3397417
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(N)=O	CHEMBL3397432
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(c1ccccc1)c1ccccc1)C(=O)N[C@@H](CS)C(N)=O	CHEMBL3397421
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCCN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(N)=O	CHEMBL3397422
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCN1C(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397433
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(N)=O	CHEMBL3397423
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397434
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	CHEMBL3397424
C[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(C)=O)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(N)=O	CHEMBL3397435
NC(=O)C[C@H](NC(=O)CCCCCNC(=O)[C@@H](CC(O)=O)Cc1ccc(CP(O)(O)=O)cc1)C(=O)NCCCc1cccc2ccccc12	CHEMBL175689
C[C@@]1(Cc2ccc(cc2)P(O)(O)=O)NC(=O)CC(\C=C\C[C@@H](Cc2cccc3ccccc23)CNC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(CP(O)(O)=O)cc1	CHEMBL175456
NC(=O)C[C@H](NC(=O)CCNC(=O)[C@@H](CC(O)=O)Cc1ccc(CP(O)(O)=O)cc1)C(=O)NCCCc1cccc2ccccc12	CHEMBL424969
NC(=O)C[C@H](NC(=O)CCCCNC(=O)[C@@H](CC(O)=O)Cc1ccc(CP(O)(O)=O)cc1)C(=O)NCCCc1cccc2ccccc12	CHEMBL414820
NC(=O)C[C@H](NC(=O)C1(CCCCC1)NC(=O)[C@@H](CC(O)=O)Cc1ccc(CP(O)(O)=O)cc1)C(=O)NCCCc1cccc2ccccc12	CHEMBL93367
NC(=O)CC(NC(=O)C1(CCCCC1)NC(=O)C(CC(O)=O)Cc1ccc(C[P+](O)(O)[O-])cc1)C(=O)NCCNc1ccc([N+]([O-])=O)c2n[o+][n-]c12	CHEMBL362853
CCc1cc(-c2n[nH]cc2-c2c[nH]cn2)c(O)cc1O	CHEMBL360563
CCc1cc(-c2n[nH]c(C(O)=O)c2-c2ccc3OCOc3c2)c(O)cc1O	CHEMBL178130
CC(=O)c1ccc(cc1)N1CCN(CC1)C(=O)CN1CCC(C1)C(=O)Nc1ccc(O)cc1	CHEMBL3356114
[Na+].[Na+].[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](COS([O-])(=O)=O)[C@H](OS([O-])(=O)=O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](OS([O-])(=O)=O)[C@H]1OS([O-])(=O)=O)C([O-])=O	CHEMBL3397498
[Na+].[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](COS([O-])(=O)=O)[C@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](OS([O-])(=O)=O)[C@H]1OS([O-])(=O)=O)C([O-])=O	CHEMBL3397497
[Na+].[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](CO)[C@H](OS([O-])(=O)=O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](OS([O-])(=O)=O)[C@H]1OS([O-])(=O)=O)C([O-])=O	CHEMBL3397496
[Na+].[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](COS([O-])(=O)=O)[C@H](OS([O-])(=O)=O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](OS([O-])(=O)=O)[C@H]1O)C([O-])=O	CHEMBL3397495
[Na+].[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](COS([O-])(=O)=O)[C@H](OS([O-])(=O)=O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1OS([O-])(=O)=O)C([O-])=O	CHEMBL3397494
[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](OS([O-])(=O)=O)[C@H]1OS([O-])(=O)=O)C([O-])=O	CHEMBL3397493
[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](COS([O-])(=O)=O)[C@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](OS([O-])(=O)=O)[C@H]1O)C([O-])=O	CHEMBL3397492
[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](COS([O-])(=O)=O)[C@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1OS([O-])(=O)=O)C([O-])=O	CHEMBL3397491
[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](CO)[C@H](OS([O-])(=O)=O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](OS([O-])(=O)=O)[C@H]1O)C([O-])=O	CHEMBL3397490
[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](CO)[C@H](OS([O-])(=O)=O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1OS([O-])(=O)=O)C([O-])=O	CHEMBL3397489
[Na+].[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](COS([O-])(=O)=O)[C@H](OS([O-])(=O)=O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C([O-])=O	CHEMBL3397488
[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](OS([O-])(=O)=O)[C@H]1O)C([O-])=O	CHEMBL3397487
[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1OS([O-])(=O)=O)C([O-])=O	CHEMBL3397486
[Na+].[Na+].CC(=O)N[C@H]1[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CNc2cccc(NC(=O)CCCCC3CCSS3)c2)O[C@H](COS([O-])(=O)=O)[C@H](O)[C@@H]1O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C([O-])=O	CHEMBL3397485
NCCNC(=O)c1ccc(Cl)cn1	CHEMBL279390
C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O	CHEMBL396778
CN(CC#C)Cc1ccccc1	CHEMBL673
C[C@H](Cc1ccccc1)N(C)CC#C	CHEMBL972
CSCC[C@H]1NC(=O)[C@H](Cc2ccc(OP(O)(O)=O)cc2)NC(=O)[C@H](CCCCNC(=O)NCC(=O)CC[C@@H](NC1=O)C(=O)N[C@@H](CC(C)C)C(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](N)CCC(O)=O	CHEMBL408337
CSCC[C@H](NC(=O)[C@@H](NC(=O)C(N)CCc1ccccc1)C(C)C)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL439086
CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC(C)C)C(C)C)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL371014
CC(C)C[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)c1ccccc1)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL413215
CSCC[C@H]1NC(=O)[C@H](Cc2ccc(OP(O)(O)=O)cc2)NC(=O)[C@H](CCCCNC(=O)NCC(=O)C[C@@H](NC1=O)C(=O)N[C@@H](CC(C)C)C(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](N)CCC(O)=O	CHEMBL262382
CSCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL386749
CSCC[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C(C)c1ccccc1)C(C)C)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL412186
CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1ccc(OP(O)(O)=O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL274087
CC(C)C[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(O)c1ccccc1)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL386769
CC(C)C[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)NC(CCc1ccccc1)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL386750
CCCCC(NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL265579
CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL269042
CSCC[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C(O)c1ccccc1)C(C)C)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL413492
CC(C)C[C@H](N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(OP(O)(O)=O)cc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL273780
Oc1cccc2CCCCc12	CHEMBL449132
CC(CCO)N(C)C(=O)CCCN1c2ccccc2N(Cc2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F)S1(=O)=O	CHEMBL3402133
COc1cccc(CN(C)C(=O)CCCN2c3ccccc3N(Cc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F)S2(=O)=O)c1	CHEMBL3402134
CN(Cc1ccccc1C)C(=O)CCCN1c2ccccc2N(Cc2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F)S1(=O)=O	CHEMBL3402135
CC(C)C(=O)N1CCC(CN2c3ccccc3N(Cc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F)S2(=O)=O)CC1	CHEMBL3402137
CCC(=O)N1CCCC(CN2c3ccccc3N(Cc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F)S2(=O)=O)C1	CHEMBL3402138
CCC(CC)c1ccc(CN2c3ccccc3N(CCCC(=O)N3CCCC3)S2(=O)=O)cc1	CHEMBL3402139
CC(C)c1ccc(CN2c3ccccc3N(CCCC(=O)N3CCCC3)S2(=O)=O)cc1	CHEMBL3402140
O=C(CCCN1c2ccccc2N(Cc2ccccc2)S1(=O)=O)N1CCCC1	CHEMBL3402142
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1-c1cn(C)c(=O)c(Nc2ccc(cc2)C(=O)NCCNC(=S)Nc2ccc(c(c2)C(O)=O)-c2c3ccc(O)cc3oc3cc(=O)ccc23)n1	CHEMBL3400825
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1-c1cn(C)c(=O)c(Nc2ccc(cc2)C(=O)NCCCNC(=S)Nc2ccc(c(c2)C(O)=O)-c2c3ccc(O)cc3oc3cc(=O)ccc23)n1	CHEMBL3400826
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1-c1cn(C)c(=O)c(Nc2ccc(cc2)C(=O)NCCCCNC(=S)Nc2ccc(c(c2)C(O)=O)-c2c3ccc(O)cc3oc3cc(=O)ccc23)n1	CHEMBL3402353
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1-c1cn(C)c(=O)c(Nc2ccc(cc2)C(=O)NCCOCCOCCNC(=S)Nc2ccc(c(c2)C(O)=O)-c2c3ccc(O)cc3oc3cc(=O)ccc23)n1	CHEMBL3402354
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1-c1cn(C)c(=O)c(Nc2ccc(cc2)C(=O)N2CCN(CC2)C(=S)Nc2ccc(c(c2)C(O)=O)-c2c3ccc(O)cc3oc3cc(=O)ccc23)n1	CHEMBL3402355
Cc1c(NC(=O)c2ccc(cc2)C(C)(C)C)cccc1-c1cn(C)c(=O)c(Nc2ccc(cc2)C(=O)N2CCOC(CNC(=S)Nc3ccc(c(c3)C(O)=O)-c3c4ccc(O)cc4oc4cc(=O)ccc34)C2)n1	CHEMBL3402356
COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC	CHEMBL127907
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc12	CHEMBL406845
Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1	CHEMBL66031
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	CHEMBL1204168CHEMBL29197
COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC	CHEMBL150315
COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC	CHEMBL97771
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1	CHEMBL92812
CN(C)c1ccc(\C=C2\C(=O)Nc3ccccc23)cc1	CHEMBL296455
CC(C)[C@@H](CS(=O)(=O)C(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1	CHEMBL3125702
CC(C)C[C@]1(N=CN(CC2CC2)[C@H]1c1ccc(Cl)cc1)C(=O)NCCc1ccncc1	CHEMBL3407580
Cc1ccc2n(C[C@H]3CNC(=O)[C@H](CC(N)=O)NC(=O)C4(CCCCC4)NC(=O)[C@@H](CC(O)=O)[C@H](\C=C\C3)c3ccc(cc3)C(C(O)=O)C(O)=O)ccc2c1	CHEMBL191728
Cc1ccc2n(C[C@H]3CNC(=O)[C@H](CC(N)=O)NC(=O)C4(CCCCC4)NC(=O)[C@@H](CC(O)=O)[C@H](\C=C\C3)c3ccc(CP(O)(=O)Cc4ccccc4)cc3)ccc2c1	CHEMBL193281
Cc1ccc2n(C[C@H]3CNC(=O)[C@H](CC(N)=O)NC(=O)C4(CCCCC4)NC(=O)[C@@H](CC(O)=O)[C@H](\C=C\C3)c3ccc(NC(=O)C(O)=O)cc3)ccc2c1	CHEMBL263328
Cc1ccc2n(C[C@H]3CNC(=O)[C@H](CC(N)=O)NC(=O)C4(CCCCC4)NC(=O)[C@@H](CC(O)=O)[C@H](\C=C\C3)c3ccc(CP(C)(O)=O)cc3)ccc2c1	CHEMBL424823
Cc1ccc2n(C[C@H]3CNC(=O)[C@H](CC(N)=O)NC(=O)C4(CCCCC4)NC(=O)[C@@H](CC(O)=O)[C@H](\C=C\C3)c3ccc(CC(O)=O)cc3)ccc2c1	CHEMBL193015
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](C)N)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(N)=O	CHEMBL3410227
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(N)=O	CHEMBL3410232
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCNC(N)=N)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(N)=O	CHEMBL3410234
Nc1nc(N)c2cc(NCc3ccc(cc3)[N+]([O-])=O)ccc2n1	CHEMBL3410463
Nc1ccc2nc(N)nc(N)c2c1	CHEMBL6885
Nc1nc(N)c2cc(NCc3ccc(O)cc3)ccc2n1	CHEMBL174153
COc1ccc(CNc2ccc3nc(N)nc(N)c3c2)cc1	CHEMBL546890
Nc1nc(N)c2cc(NCCn3c(nc4cc(Cl)c(Cl)cc34)C(F)(F)F)ccc2n1	CHEMBL3410464
CSCC[C@H](NC=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(O)=O	CHEMBL267179
CCOc1ccc(\C=C2/SC(=O)N(CCN)C2=O)cc1	CHEMBL363555
O=C(CSc1nc2ccccc2o1)Nc1ccc(cc1)-n1cnnn1	CHEMBL364953
NC(N)=Nc1nc(cs1)C1COc2ccccc2O1	CHEMBL190710
C[C@@H](OP(O)(O)=O)[C@H](NC(C)=O)C(=O)N1CCCC[C@H]1C(N)=O	CHEMBL363565
C[C@@H](OP(O)(O)=O)[C@H](NC(=O)Cc1ccccc1)C(=O)N1CCC[C@H]1C(N)=O	CHEMBL191285
C[C@@H](OP(O)(O)=O)[C@H](NC(C)=O)C(=O)N1C[C@H](O)C[C@H]1C(N)=O	CHEMBL191311
